bodyID,Volume,3DHBSh,Aqua-Calc,Article 1987
0522,0.06591769,67.63,66.58,69.81
0530,0.05585533,57.31,56.41,59.89
0544,0.05974806,61.3,60.35,63.73
0556,0.0539583,55.36,54.5,58.02
0569,0.10092924,103.55,101.94,104.3
0573,0.07897805,81.03,79.77,82.67
0581,0.06435404,66.03,65.0,68.27
0583,0.08560244,87.83,86.46,89.2
0586,0.06057753,62.15,61.18,64.55
0589,0.06987521,71.69,70.57,73.71
0590,0.07519934,77.15,75.95,78.95
0593,0.12574467,129.01,127.0,128.75
0594,0.08078971,82.89,81.6,84.46
0598,0.07262172,74.51,73.35,76.41
0600,0.05323216,54.62,53.76,57.31
0607,0.06962264,71.43,70.32,73.46
0609,0.06177107,63.38,62.39,65.72
0614,0.05937848,60.92,59.97,63.37
0615,0.08965907,91.99,90.56,93.2
0616,0.06395786,65.62,64.6,67.88
0621,0.05931091,60.85,59.9,63.3
0622,0.06484202,66.53,65.49,68.75
0624,0.07088811,72.73,71.6,74.7
0626,0.05112854,52.46,51.64,55.24
0627,0.05154975,52.89,52.07,55.65
0628,0.06924474,71.05,69.94,73.09
0630,0.06630058,68.02,66.96,70.18
0635,0.09074673,93.11,91.65,94.27
0640,0.0883222,90.62,89.21,91.88
0642,0.07430376,76.24,75.05,78.07
0644,0.06951372,71.32,70.21,73.35
0646,0.0605788,62.15,61.18,64.55
0649,0.06152739,63.13,62.14,65.48
0651,0.05882656,60.36,59.41,62.82
0655,0.07191224,73.78,72.63,75.71
0656,0.05259,53.96,53.12,56.68
0662,0.06578541,67.5,66.44,69.68
0663,0.06864093,70.43,69.33,72.49
0668,0.06499536,66.69,65.65,68.9
1032,0.05976349,61.32,60.36,63.74
1035,0.07550401,77.47,76.26,79.25
1038,0.06843323,70.21,69.12,72.29
1039,0.07175939,73.63,72.48,75.56
1047,0.06748163,69.24,68.16,71.35
1050,0.08020159,82.29,81.0,83.88
1056,0.05175056,53.1,52.27,55.85
1057,0.06116067,62.75,61.77,65.12
1058,0.06423581,65.91,64.88,68.15
1060,0.08602046,88.26,86.88,89.61
1061,0.08131389,83.43,82.13,84.98
1062,0.05679941,58.28,57.37,60.82
1063,0.11643995,119.47,117.6,119.58
1068,0.0637884,65.45,64.43,67.71
1070,0.06966479,71.48,70.36,73.5
1074,0.05902072,60.56,59.61,63.01
1076,0.0600199,61.58,60.62,64.0
1077,0.07154191,73.4,72.26,75.35
1078,0.06711347,68.86,67.78,70.99
1079,0.0822169,84.35,83.04,85.87
1081,0.06470953,66.39,65.36,68.62
1083,0.05590766,57.36,56.47,59.95
1084,0.06078625,62.37,61.39,64.75
1086,0.05625119,57.71,56.81,60.28
1087,0.09723222,99.76,98.2,100.66
1088,0.05570695,57.16,56.26,59.75
1089,0.04966285,50.95,50.16,53.79
1095,0.07307682,74.98,73.81,76.86
1096,0.07779882,79.82,78.58,81.51
1098,0.07496635,76.92,75.72,78.72
1100,0.06507689,66.77,65.73,68.98
1101,0.07114602,73.0,71.86,74.96
1102,0.0730329,74.93,73.76,76.82
1105,0.08567122,87.9,86.53,89.27
1109,0.05911109,60.65,59.7,63.1
1116,0.05028261,51.59,50.79,54.4
1118,0.08385596,86.04,84.69,87.48
1121,0.07794943,79.98,78.73,81.66
1123,0.11429885,117.27,115.44,117.47
1124,0.07331386,75.22,74.05,77.09
1125,0.0720882,73.96,72.81,75.89
1127,0.05777295,59.28,58.35,61.78
1128,0.08702072,89.28,87.89,90.6
1130,0.08536393,87.58,86.22,88.97
1132,0.05770203,59.2,58.28,61.71
1136,0.05601835,57.47,56.58,60.05
1137,0.06418116,65.85,64.82,68.1
1138,0.07458194,76.52,75.33,78.34
1139,0.06096875,62.55,61.58,64.93
1140,0.06594548,67.66,66.6,69.83
1141,0.07830625,80.34,79.09,82.01
1142,0.0678228,69.59,68.5,71.68
1144,0.07055475,72.39,71.26,74.38
1148,0.07707402,79.08,77.84,80.8
1150,0.06128414,62.88,61.9,65.24
1152,0.06418237,65.85,64.82,68.1
1157,0.06590815,67.62,66.57,69.8
1158,0.07190043,73.77,72.62,75.7
1160,0.06207738,63.69,62.7,66.02
1162,0.05768274,59.18,58.26,61.69
1163,0.05012408,51.43,50.63,54.25
1164,0.0682882,70.06,68.97,72.14
1166,0.12808322,131.41,129.36,131.05
1167,0.05226239,53.62,52.79,56.35
