weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
77.8,184.4,38.4,95.5,77.1,94.9,110.5,58.3,37.8,38.3,23.0,31.0,17.7,14.5,62.7,30.7,93.0,41.9,48.5,22.9,58.2
58.5,160.1,36.5,90.0,78.6,88.4,109.4,52.0,35.6,33.9,20.1,27.7,16.1,14.6,53.9,25.6,77.3,36.6,39.0,21.4,57.3
83.4,184.6,40.7,94.6,88.9,101.0,119.7,60.4,40.1,37.9,22.9,32.0,17.3,16.9,63.2,27.9,90.8,41.0,46.3,23.9,57.0
72.7,167.2,41.7,98.6,92.5,96.2,115.6,57.8,37.2,35.6,19.3,29.2,16.4,14.6,59.5,27.0,77.8,38.1,38.6,24.9,55.7
105.3,193.4,42.3,103.6,102.4,113.0,123.2,69.5,46.6,43.0,26.4,32.1,18.9,13.9,66.7,29.7,94.9,45.6,47.0,25.6,60.7
81.2,186.2,43.1,95.3,86.5,99.6,115.7,60.4,39.2,37.8,21.5,28.9,17.7,14.5,64.7,27.8,87.2,45.0,46.3,22.6,56.9
66.0,169.4,39.9,96.2,81.6,91.7,112.3,52.9,36.4,34.3,20.7,28.8,17.4,14.9,59.2,26.9,82.3,38.9,41.5,22.3,56.4
84.0,174.0,43.3,103.8,97.6,103.6,117.2,62.8,40.5,38.7,24.6,30.6,18.2,13.2,60.9,26.3,83.2,39.6,42.8,25.4,58.1
92.8,173.9,42.9,102.7,94.5,107.2,126.1,68.0,43.0,41.1,23.3,34.7,18.0,15.9,59.1,27.5,80.5,39.8,42.9,24.7,58.4
82.3,171.9,44.5,104.4,89.1,100.1,120.4,62.0,42.1,39.9,22.5,31.8,17.2,14.4,57.5,26.0,78.4,42.3,42.2,26.2,59.8
73.0,172.2,42.0,93.7,88.3,94.5,114.3,58.0,39.4,37.3,22.0,30.9,16.8,14.1,61.2,26.7,81.9,38.2,43.2,21.6,57.4
86.7,177.6,42.2,108.9,102.9,102.8,123.6,62.6,39.2,39.3,22.5,29.6,17.7,16.5,62.4,26.9,83.9,46.5,41.6,26.2,55.7
107.6,189.7,46.1,109.9,105.6,114.4,133.0,67.5,43.0,42.9,24.8,34.5,19.7,18.3,66.6,28.8,89.2,48.2,44.7,28.0,60.3
78.4,173.0,40.8,104.6,92.0,99.1,119.8,60.8,39.5,38.8,21.9,28.7,17.7,14.5,60.0,25.3,80.7,39.9,40.3,24.2,57.8
82.7,168.8,41.8,102.4,99.5,99.6,121.8,61.7,41.0,41.0,22.5,32.7,18.1,16.4,56.4,25.2,72.7,42.6,35.6,26.2,54.8
88.3,169.2,40.9,108.4,95.8,107.2,126.6,65.3,39.1,38.6,22.4,32.9,18.1,15.7,56.0,26.0,77.9,37.2,41.0,26.5,59.0
88.2,177.8,39.5,112.2,92.8,104.5,124.3,65.4,42.8,39.1,23.2,30.1,17.5,15.9,61.7,27.6,86.4,40.3,45.1,28.5,56.3
77.4,182.4,40.6,92.3,79.2,93.9,116.6,59.5,41.2,37.9,23.1,29.9,17.7,14.9,63.2,29.2,88.7,40.1,45.2,21.0,57.9
