bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2058,71.56,174.82,40.12,95.26,80.48,94.34,114.96,54.21,39.7,36.06,21.55,30.88,18.11,16.01,59.8,26.9,86.03,45.24,43.54,22.25,58.66
SPRING2063,72.49,167.08,39.24,95.27,83.99,95.19,110.12,59.45,42.17,40.99,22.54,29.75,16.79,14.8,56.23,24.84,78.81,43.67,37.36,22.92,55.66
SPRING2066,109.49,175.48,45.46,124.18,118.06,116.82,128.29,65.37,44.36,39.85,24.85,36.37,21.34,15.74,62.49,28.77,85.55,55.25,39.63,30.7,60.31
SPRING2072,62.88,177.0,37.04,87.84,73.94,92.12,108.21,54.57,35.78,32.86,20.22,28.01,16.97,15.95,56.27,25.97,84.24,47.03,39.26,20.46,57.14
SPRING2083,88.33,176.41,45.32,109.26,90.42,105.94,128.07,62.68,43.14,37.0,22.14,32.57,17.91,16.29,59.55,26.87,84.8,46.91,38.64,25.91,60.11
SPRING2085,96.63,183.72,44.18,107.66,100.72,108.55,121.44,64.19,42.57,40.26,22.46,32.92,19.6,15.29,63.4,27.68,87.72,48.96,42.42,24.54,59.48
SPRING2091,47.73,154.36,37.47,81.34,73.55,83.5,99.12,45.72,32.45,29.78,17.47,27.59,16.02,13.38,48.43,22.5,72.84,41.33,34.45,19.55,55.71
SPRING2092,81.47,177.69,44.09,101.91,85.45,99.27,116.69,61.44,42.59,37.25,20.6,32.57,18.3,14.91,59.06,26.54,85.69,46.25,41.7,25.1,61.41
SPRING2096,82.97,173.53,43.77,102.59,88.0,101.77,118.23,59.75,43.76,39.32,23.19,31.61,18.96,15.33,56.8,26.46,81.45,45.37,38.87,23.97,60.8
SPRING2099,96.21,175.55,46.75,109.72,101.18,110.63,120.69,63.88,43.62,41.27,22.75,35.83,19.56,15.11,59.49,26.96,83.73,47.09,41.95,26.73,60.62
SPRING2111,69.96,176.27,39.4,93.28,81.75,93.35,115.88,54.93,33.96,35.14,19.87,29.8,17.49,15.41,57.77,26.53,81.82,49.7,41.17,19.81,58.1
SPRING2112,74.6,181.63,40.51,99.69,83.79,92.5,114.46,53.48,38.55,34.87,20.8,31.64,18.15,14.68,61.62,27.81,89.43,50.09,45.56,22.14,59.05
SPRING2131,76.89,177.64,38.32,96.95,81.77,96.98,115.31,59.8,42.63,37.48,22.76,30.76,18.39,15.83,59.86,27.43,86.01,48.12,39.26,22.95,58.03
SPRING2137,104.98,193.34,45.77,114.82,113.0,110.28,126.18,60.54,41.45,38.58,22.02,33.26,19.44,17.65,63.98,30.03,92.08,56.12,45.41,27.35,62.45
SPRING2143,81.77,184.58,41.38,98.26,92.96,101.09,115.11,57.21,39.69,37.26,20.45,31.42,18.43,15.0,62.18,28.18,89.19,48.43,42.31,22.59,59.64
SPRING2147,91.48,182.02,45.13,104.7,95.31,104.1,119.66,60.3,41.92,39.71,23.93,34.15,20.59,14.65,60.38,27.46,86.14,48.04,44.11,24.36,58.15
SPRING2148,162.54,178.3,52.31,140.63,146.3,130.82,140.11,77.61,54.61,51.66,28.35,38.26,22.81,16.21,62.91,28.15,77.44,51.03,38.16,34.83,59.08
SPRING2151,110.7,192.89,48.88,112.58,110.96,114.83,123.31,62.17,42.15,38.99,22.72,34.49,21.0,14.24,67.19,29.5,93.96,53.55,46.97,28.59,63.69
SPRING2159,81.09,170.45,42.35,104.51,94.2,101.72,115.56,57.69,38.53,35.04,21.3,31.32,18.49,13.41,60.05,27.17,81.85,46.25,39.48,24.68,60.84
SPRING2161,98.96,180.83,42.71,114.54,107.57,108.53,122.45,63.66,43.43,39.71,22.22,33.21,17.98,14.2,61.7,28.25,86.55,50.14,42.43,27.08,58.83
SPRING2162,98.78,179.84,44.16,107.58,109.0,106.4,122.87,65.58,44.57,40.37,22.51,32.87,18.8,16.18,60.35,27.16,81.13,53.9,41.17,25.77,59.37
SPRING2175,163.19,181.9,53.52,141.81,143.02,139.52,140.38,80.68,55.52,50.59,28.82,39.7,26.09,13.35,62.21,27.17,78.33,46.8,39.16,35.68,62.36
SPRING2177,72.48,178.77,38.53,94.49,84.78,97.14,112.07,54.09,37.84,35.37,21.96,29.2,17.62,15.84,60.43,26.98,85.99,47.84,39.09,22.36,58.52
SPRING2181,72.87,174.94,36.43,93.96,82.39,97.02,111.81,57.05,40.02,39.4,21.68,30.48,18.18,15.7,56.27,26.01,79.97,47.85,37.86,21.58,57.17
SPRING2193,80.88,173.39,41.51,103.51,95.68,100.02,119.64,57.27,38.31,35.07,20.87,30.39,19.1,16.1,57.43,25.7,82.19,47.57,40.46,24.54,59.12
SPRING2212,76.71,172.85,41.29,102.78,92.43,96.65,115.32,55.63,38.33,34.41,20.93,32.5,18.94,14.86,57.11,26.91,83.41,50.05,40.49,23.92,56.68
SPRING2214,149.53,189.76,49.21,136.73,136.77,136.39,136.21,77.34,48.52,44.84,24.22,36.36,21.09,17.08,66.34,30.13,86.48,44.39,48.54,34.21,62.59
