bodyID,weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth
SPRING2590,83.96,170.18,42.68,118.66,101.87,99.95,114.64,53.13,36.84,38.9,20.88,28.03,16.2,14.99,58.8,24.63,79.68,50.09,39.79,32.92,54.14
SPRING2592,118.37,166.92,40.78,121.27,113.67,136.54,117.1,83.11,53.02,46.34,24.98,31.55,17.27,14.1,53.85,23.08,76.31,42.74,38.31,34.11,57.18
SPRING2595,85.67,167.97,40.35,109.71,100.07,112.82,111.13,69.32,41.56,37.99,21.71,28.91,16.08,14.92,56.1,24.29,80.03,42.02,40.2,29.27,56.97
SPRING2598,62.79,160.67,38.43,93.76,82.06,95.94,102.73,58.95,38.35,33.15,19.17,27.55,15.77,14.71,52.53,23.72,81.77,38.73,38.61,24.97,56.68
SPRING2599,53.21,151.05,35.47,86.76,73.35,92.11,99.38,54.72,36.45,32.06,18.18,23.96,14.17,14.05,47.91,20.74,68.62,38.67,33.54,22.84,55.11
SPRING2600,49.62,152.44,35.69,83.04,66.94,88.71,95.22,54.59,33.34,32.1,18.89,24.23,14.71,13.31,49.16,21.16,71.2,38.02,33.77,22.07,52.69
SPRING2603,184.3,170.91,48.52,147.55,151.0,177.32,135.66,98.78,58.72,45.05,25.19,34.0,19.27,13.04,55.03,24.23,74.15,44.57,39.61,40.83,59.7
SPRING2605,80.04,164.97,38.78,102.6,94.19,108.07,111.9,68.33,43.96,37.24,19.98,26.5,15.18,15.33,54.74,23.83,81.94,40.66,37.92,28.34,58.94
SPRING2606,63.17,168.16,36.58,83.28,76.35,93.88,100.51,59.32,41.12,34.1,20.85,27.18,15.28,14.28,56.4,25.87,84.36,43.85,40.61,22.38,54.91
SPRING2609,87.11,160.73,39.22,105.27,94.47,113.16,109.78,74.32,47.78,40.48,21.42,31.52,16.68,13.34,54.78,23.4,79.31,38.46,35.4,29.4,56.96
SPRING2611,71.04,165.91,37.43,91.67,80.88,101.98,106.49,64.44,44.61,37.88,19.99,28.08,15.3,15.02,55.27,24.87,83.02,43.83,38.71,24.04,59.4
SPRING2616,68.56,156.4,41.65,101.95,91.11,103.47,105.47,59.45,35.88,36.17,20.34,26.8,15.18,13.97,51.16,22.67,77.7,41.49,36.75,28.35,53.02
SPRING2618,108.4,184.76,41.54,117.58,97.62,120.89,119.95,73.06,46.06,44.34,24.46,30.87,17.88,16.37,62.04,28.6,90.57,45.66,43.1,32.13,59.58
SPRING2619,123.61,165.28,47.89,134.07,118.24,133.04,124.39,83.29,52.86,48.37,25.54,32.15,18.49,14.44,54.33,23.58,76.47,41.24,38.36,37.98,61.35
SPRING2620,64.32,165.64,35.86,89.46,76.29,93.46,99.34,56.31,41.9,36.4,21.58,26.78,15.69,14.84,52.97,24.83,80.22,41.56,39.79,25.13,56.75
SPRING2622,172.51,170.02,52.68,158.3,148.54,151.13,139.44,84.45,61.2,51.94,26.53,36.41,20.89,16.36,55.84,25.72,73.49,43.19,36.44,45.48,59.44
SPRING2625,65.91,158.25,36.96,95.53,85.44,103.71,101.32,60.68,35.86,36.11,19.89,26.61,14.74,13.5,50.06,23.02,75.15,38.33,36.41,25.42,54.66
SPRING2626,53.82,163.36,35.46,85.21,72.8,88.11,98.62,52.47,36.24,32.12,19.89,23.12,14.38,16.04,54.58,24.66,80.83,45.22,39.33,22.7,54.68
SPRING2627,53.28,156.03,37.74,80.39,74.73,89.55,100.67,54.2,38.29,32.32,19.47,23.75,14.41,14.57,49.37,21.88,70.77,38.22,34.19,20.55,54.9
SPRING2630,89.03,151.31,41.68,121.17,105.04,119.47,112.04,75.5,43.25,36.71,19.74,26.28,15.04,13.21,51.48,22.65,71.42,35.99,32.6,33.47,56.8
SPRING2632,82.82,162.27,42.62,106.28,93.71,109.0,115.14,68.7,46.35,38.81,20.68,27.88,16.14,15.83,51.18,23.78,81.51,40.1,36.81,27.8,59.21
SPRING2633,60.15,158.95,37.05,86.08,76.56,95.61,100.74,60.03,41.58,36.75,19.19,25.36,14.47,14.16,51.17,22.81,78.19,39.33,35.32,22.28,57.66
SPRING2635,61.83,156.42,38.21,88.66,82.23,95.68,103.24,58.29,38.2,34.8,19.29,26.35,15.09,14.49,51.0,23.28,72.9,42.65,33.38,24.16,55.46
SPRING2636,51.06,151.03,36.83,88.23,73.61,88.27,100.02,51.5,34.31,33.91,18.35,23.39,14.21,13.62,48.6,22.54,72.62,35.64,33.61,23.97,53.31
SPRING2639,51.09,153.89,35.71,83.65,73.41,88.3,96.61,54.48,35.0,31.98,18.23,22.77,14.03,14.02,49.73,22.37,73.53,38.9,33.84,21.82,53.47
SPRING2641,86.74,159.04,38.41,102.7,93.21,112.2,109.73,71.54,47.65,41.69,23.51,29.63,17.53,13.34,52.61,24.05,72.13,40.28,34.84,29.05,57.67
SPRING2642,64.59,163.61,38.05,93.45,80.09,97.65,99.39,60.16,38.17,35.58,21.17,25.7,15.2,11.9,52.73,23.28,81.19,39.11,37.32,24.7,55.23
SPRING2643,54.14,158.89,33.71,88.46,75.49,93.05,98.62,52.67,33.34,30.0,18.4,24.02,14.13,14.86,49.92,23.0,75.11,42.74,34.98,23.49,54.94
SPRING2646,68.58,166.63,37.37,88.58,78.85,102.29,103.29,65.08,40.28,37.83,22.27,26.86,15.58,14.79,53.8,24.64,81.57,43.55,37.31,24.11,54.27
SPRING2647,67.29,164.66,37.93,94.38,78.1,101.74,103.22,64.4,40.7,35.73,20.77,27.06,15.4,14.12,55.92,24.77,84.0,40.43,38.81,24.45,59.37
SPRING2652,97.25,162.55,45.35,123.85,116.54,120.1,124.04,61.41,36.52,37.3,19.82,29.53,17.61,15.28,51.17,22.8,67.71,44.76,35.0,31.67,55.24
SPRING2655,58.82,157.97,36.2,87.33,75.44,95.31,101.6,57.13,39.51,35.03,21.16,25.54,14.76,14.59,50.3,22.83,75.33,41.27,37.19,22.83,54.21
SPRING2657,56.02,170.29,35.77,78.34,72.07,90.94,100.12,53.31,36.78,34.4,20.13,23.9,13.71,15.35,57.49,25.48,82.84,41.11,39.5,19.56,56.47
SPRING2658,58.57,159.78,36.93,85.49,78.1,91.64,96.27,57.08,38.7,35.44,20.1,25.31,15.4,12.25,51.42,23.45,79.02,43.28,36.43,23.13,55.72
SPRING2659,64.73,163.73,36.31,89.97,79.58,97.37,102.9,59.58,41.88,37.46,21.68,26.87,15.36,15.15,53.41,23.63,79.12,38.82,38.0,23.53,53.44
SPRING2660,62.43,160.73,38.54,92.34,79.45,95.78,100.81,58.48,38.95,36.08,21.28,25.51,15.56,13.48,52.94,23.03,79.06,38.61,36.5,24.25,57.01
SPRING2662,65.9,157.79,36.44,92.56,78.24,98.46,99.69,64.3,42.94,37.51,21.35,25.59,15.71,13.06,52.44,23.92,75.9,40.1,33.93,24.45,56.03
SPRING2663,61.24,157.38,36.52,87.07,76.94,94.11,98.82,60.47,40.69,38.24,22.73,25.18,14.86,14.71,51.64,24.04,74.46,40.94,36.57,23.02,55.68
SPRING2665,67.45,163.95,36.81,98.74,85.76,99.99,106.95,58.13,39.19,36.68,20.72,26.4,15.27,16.53,53.16,24.33,78.3,41.13,36.45,26.15,57.53
SPRING2667,49.75,156.56,35.21,80.92,68.35,86.85,94.83,53.12,35.61,30.71,19.63,23.29,14.38,14.08,51.03,22.18,75.3,40.33,37.93,21.29,55.95
SPRING2669,55.92,156.14,36.66,90.57,76.8,89.65,102.81,53.83,36.25,33.81,18.39,24.58,14.54,14.09,49.05,22.84,73.78,39.26,37.52,21.94,57.36
SPRING2671,97.96,172.94,42.57,113.73,96.24,113.48,117.37,72.39,46.65,42.52,22.18,30.98,17.05,14.17,56.74,24.18,83.73,44.58,42.43,32.08,57.36
SPRING2672,87.77,168.35,38.01,99.2,88.9,111.89,109.8,69.07,48.75,44.69,25.1,31.82,17.44,14.37,54.65,23.26,84.67,43.41,37.08,27.12,55.66
SPRING2673,61.1,154.44,37.81,91.97,79.43,95.6,104.5,57.01,37.61,34.54,19.18,25.69,14.61,14.09,51.19,22.51,72.54,39.89,34.22,26.16,55.72
SPRING2681,69.94,163.31,37.31,92.94,80.98,96.82,103.13,62.23,44.18,38.84,22.69,28.15,16.82,14.11,54.4,24.68,81.44,41.11,35.22,25.55,55.9
SPRING2682,67.23,156.91,37.16,99.83,88.02,99.79,106.96,61.6,40.57,36.85,20.54,25.51,14.82,15.08,51.05,23.04,74.23,41.14,33.89,27.42,53.2
SPRING2683,55.24,153.76,34.94,86.32,75.93,89.79,98.98,55.92,35.44,34.97,19.64,25.24,14.53,14.08,49.97,22.07,72.42,42.52,34.3,22.59,55.16
SPRING2686,79.18,164.35,39.45,105.31,91.23,107.49,109.42,63.14,42.4,41.63,21.88,27.83,15.44,14.73,57.37,25.46,78.8,39.07,38.26,28.71,52.51
SPRING2687,61.64,159.06,35.96,91.22,78.37,98.51,100.01,60.15,39.97,33.79,21.3,25.55,15.72,13.96,51.85,23.24,76.08,42.73,38.7,24.46,54.36
