code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
Q6D,64.2,154.2,96.3,88.5,100.4,100.1,50.6,22.1,71.7,41.7
Q6Y,50.0,161.0,82.1,69.9,89.0,94.2,52.6,23.2,77.1,41.7
Q7F,114.6,185.4,119.6,110.4,116.3,129.7,61.3,28.2,88.2,51.3
Q7G,87.8,159.1,113.1,107.5,117.9,110.5,52.5,23.5,74.4,44.6
Q8A,76.4,156.5,103.4,95.0,108.1,105.4,51.4,22.7,72.3,42.5
Q8B,83.4,166.0,105.5,100.8,112.6,108.0,55.6,23.7,77.2,46.4
Q8C,86.9,164.2,112.2,103.6,105.6,117.6,53.6,24.3,76.0,47.5
Q8F,56.7,167.6,86.6,72.9,90.1,100.9,56.2,25.7,83.3,40.8
Q9E,68.6,158.6,101.5,91.4,101.4,107.7,51.3,22.5,73.6,41.6
Q9P,95.6,187.3,109.7,99.4,105.4,123.6,64.8,29.4,91.4,50.4
R0U,109.2,183.2,117.9,111.1,111.8,125.0,61.3,27.4,88.9,52.9
R1B,101.7,187.1,113.5,101.1,108.1,123.6,64.1,30.1,92.4,50.8
R1V,54.6,166.7,83.8,71.7,89.8,98.6,55.7,25.1,81.7,42.3
R2A,92.0,185.0,106.8,96.3,102.1,120.3,64.9,29.5,94.5,48.9
R2F,54.1,157.5,87.0,72.4,93.1,97.1,51.3,22.6,74.6,40.3
R2Q,108.3,179.3,120.3,114.7,114.3,123.5,60.1,26.9,86.5,50.5
R2R,65.5,176.1,91.9,75.6,88.5,110.2,60.0,26.8,87.0,44.5
R3B,112.0,184.5,116.6,107.7,114.3,129.2,62.7,28.4,88.7,52.1
R3T,100.1,190.2,111.7,101.2,106.9,121.6,64.9,29.8,92.9,51.0
R4F,61.1,174.5,89.2,72.5,89.5,106.3,59.2,26.9,85.9,44.2
R4H,79.4,185.0,99.4,85.1,97.4,116.5,64.2,28.9,91.7,49.5
R4J,69.5,155.3,103.1,94.2,106.8,103.7,51.0,22.8,73.4,40.8
R4Y,101.2,191.2,109.4,93.9,108.4,124.9,65.0,29.8,93.4,50.3
R5N,111.1,178.0,121.4,115.5,114.4,127.4,61.4,27.7,85.7,52.5
R6C,61.6,176.4,90.0,75.1,86.0,106.1,60.0,28.0,88.1,46.1
R6W,119.7,189.4,123.5,114.9,117.9,128.0,65.0,29.5,91.6,50.6
R7U,62.7,171.2,90.4,73.8,88.9,110.2,58.0,25.6,81.8,44.9
R8D,92.5,168.2,111.3,105.1,111.2,117.8,56.1,25.3,77.5,48.0
R8U,91.2,183.4,111.1,97.6,102.1,120.8,64.7,29.3,90.0,49.6
R9H,98.5,184.9,113.0,99.7,105.7,124.0,64.6,29.3,91.3,50.6
T0E,84.8,163.4,105.2,103.3,113.8,107.0,54.4,24.4,76.8,45.2
T0P,57.7,158.7,87.8,78.6,99.0,96.4,51.2,22.5,75.3,40.2
T0T,93.5,165.9,116.2,107.8,107.7,120.4,55.6,25.0,78.1,47.6
T0Z,76.4,159.4,103.8,102.1,109.2,106.1,52.4,23.9,74.6,44.8
T1Q,76.8,182.6,99.4,83.2,95.8,116.1,62.8,28.0,90.2,48.5
T1R,77.2,159.4,104.0,94.3,108.3,107.1,51.9,23.5,73.6,43.0
T1W,56.8,169.9,85.0,68.8,91.0,101.0,57.0,24.5,84.1,42.5
T1Y,52.0,157.6,82.0,74.1,92.0,94.2,52.0,22.7,75.0,41.8
T2B,108.0,183.4,118.4,108.6,114.3,125.3,63.9,29.1,90.2,52.5
T2U,106.6,189.7,115.1,106.2,112.1,123.8,64.8,29.4,92.2,52.0
T3F,51.4,161.0,83.6,71.7,90.0,92.8,54.8,24.2,79.0,40.4
T3K,59.8,152.8,92.3,81.2,100.3,99.1,50.6,22.6,72.3,39.1
T3Q,56.0,168.6,86.5,74.2,85.0,105.0,58.2,26.1,82.0,44.6
T4K,103.9,171.2,119.7,111.4,110.8,127.5,57.0,25.8,79.9,48.8
T4N,111.3,179.6,120.6,113.9,117.3,124.8,62.4,28.0,87.9,48.4
T4V,51.0,159.2,80.4,73.0,91.8,93.0,52.8,23.5,76.9,42.0
T5A,92.6,185.0,109.0,91.0,100.6,124.1,65.0,30.5,93.0,47.9
T5C,69.0,155.8,100.2,88.9,104.0,104.0,50.0,22.3,73.5,40.6
T5F,106.5,172.2,123.4,114.4,112.1,125.4,59.0,26.9,82.9,50.4
T6J,75.7,158.1,102.3,97.6,110.8,106.2,51.3,23.1,73.4,45.5
T6K,52.1,162.6,79.7,69.6,89.2,96.6,54.4,24.2,79.3,40.0
T6P,113.0,190.6,121.1,108.0,111.4,130.9,65.5,29.3,93.3,52.8
T6V,56.0,169.2,87.0,70.7,87.5,102.0,58.6,26.7,83.8,43.7
T7N,85.0,185.8,103.4,85.4,98.0,119.0,64.4,29.3,94.2,47.9
T7U,104.4,172.8,116.1,111.6,118.4,119.3,57.4,24.9,81.8,49.8
T7W,113.9,192.4,116.7,109.9,113.1,127.7,65.9,30.0,93.2,52.3
T8H,107.9,184.9,114.1,107.3,109.8,126.1,64.6,28.6,92.0,49.4
T9E,95.8,169.3,112.3,107.7,115.1,121.4,55.4,25.9,78.6,47.1
T9H,58.9,170.7,86.4,75.8,89.6,102.5,58.6,27.1,83.8,43.8
T9Y,67.8,178.3,92.8,79.3,91.5,111.9,61.0,27.8,87.5,47.7
U0F,83.8,164.1,111.0,106.9,113.1,108.0,54.1,24.0,77.5,47.9
U0J,91.1,186.3,103.6,89.2,102.3,118.1,64.2,29.8,92.3,49.3
U0N,106.3,186.0,115.6,106.0,112.3,125.6,64.3,29.8,91.0,51.4
U0R,95.2,166.8,117.6,107.4,106.5,126.4,54.0,24.3,77.6,46.6
U1E,71.1,158.2,102.7,96.4,106.2,105.0,52.5,21.7,75.2,44.5
U1R,83.5,183.1,101.1,89.7,97.9,120.8,63.5,29.5,92.8,49.0
U1U,59.9,154.2,89.9,84.1,99.3,98.2,50.7,21.7,70.2,42.4
U2Q,84.9,187.8,103.3,90.5,101.2,118.8,66.6,29.2,93.2,48.3
U3B,105.0,171.5,122.8,115.5,110.9,128.4,58.8,25.7,81.7,49.6
U4Z,102.4,191.3,110.7,103.4,109.7,125.3,66.0,30.2,94.1,50.4
U5A,101.5,187.2,113.4,106.4,105.6,128.8,63.8,29.5,89.4,52.5
U5P,97.1,168.7,116.6,109.7,113.8,120.6,56.6,26.4,78.4,49.8
U6A,85.5,161.5,110.3,105.1,114.9,107.4,56.3,23.4,77.2,41.4
U6E,86.3,161.6,114.4,111.6,113.0,110.7,57.0,24.5,77.8,47.5
U6Y,93.8,186.7,107.3,99.4,104.1,121.0,66.0,30.2,93.5,50.4
U7B,58.4,174.9,88.3,73.8,89.9,99.1,59.8,26.2,85.8,44.6
U7Y,53.2,167.6,84.7,70.8,86.7,102.8,57.8,25.7,82.0,43.7
U8J,51.0,161.2,79.7,69.9,90.8,95.4,53.8,23.6,79.6,39.2
U8T,114.1,185.0,118.8,109.8,118.4,129.0,61.0,27.1,88.9,52.6
U9B,56.3,162.3,79.4,73.3,89.8,100.6,54.2,24.0,82.3,43.4
U9T,93.5,185.2,108.8,95.7,104.8,117.5,65.5,29.3,91.4,53.8
U9V,102.4,189.0,121.9,103.4,105.8,128.3,65.3,29.9,89.9,50.7
V1G,50.2,161.2,82.9,73.5,88.2,97.5,57.2,26.0,80.7,44.5
V1J,109.9,187.0,113.4,95.2,114.4,126.4,65.9,30.4,95.1,47.7
V1N,50.5,150.7,84.3,74.1,91.1,93.4,48.1,21.4,70.2,39.5
V1P,73.8,185.0,95.5,79.9,93.7,112.8,64.2,29.5,93.5,48.0
V2J,129.2,182.4,127.8,124.5,124.1,130.8,63.0,28.4,87.3,53.0
V3F,75.9,187.0,96.9,80.7,95.7,115.4,65.4,29.8,94.2,47.5
V4F,59.3,174.7,89.0,73.3,85.9,107.0,59.6,27.1,86.4,45.4
V5C,123.4,185.2,122.8,117.8,120.9,130.7,64.1,28.8,89.9,53.0
V5R,121.8,187.4,124.4,115.5,116.6,130.7,64.6,28.8,92.1,51.5
V6J,64.7,154.4,98.4,90.1,101.0,101.0,50.1,21.8,71.6,41.2
V7Q,136.0,182.9,133.4,130.9,125.4,133.8,61.5,27.8,87.1,53.7
V7W,80.6,189.4,98.9,83.0,97.4,117.0,64.9,29.6,95.0,48.4
V8D,124.0,189.4,123.5,118.2,118.3,132.0,64.0,28.8,91.3,53.3
V8H,46.8,155.0,79.4,67.5,86.9,92.5,50.7,22.9,74.6,39.2
V8J,120.3,173.2,127.0,124.0,121.6,130.1,57.9,26.5,83.0,51.0
V9T,112.8,172.0,120.6,120.3,119.4,124.5,56.8,26.0,80.1,52.2
W0H,110.4,175.1,121.1,114.8,118.1,126.6,58.0,26.0,82.4,50.1
W0J,102.3,167.6,118.4,114.9,116.3,122.4,55.8,25.4,77.8,48.6
W1G,115.5,182.1,124.2,115.8,114.2,131.8,61.2,27.8,85.8,51.4
W1T,82.7,189.0,99.5,85.4,98.1,116.8,65.9,30.6,96.3,49.0
W2A,76.2,153.9,105.7,99.4,111.0,107.7,50.6,22.3,71.6,41.9
W2C,116.6,179.1,125.4,115.6,114.2,130.4,58.8,27.1,85.1,50.8
W2J,78.8,157.8,105.2,100.2,113.0,105.4,51.6,22.7,73.7,42.7
W2Q,69.4,155.3,100.8,95.1,106.0,102.7,49.7,22.3,71.6,44.2
W3E,57.3,151.5,88.6,83.6,99.1,96.9,49.3,21.7,70.9,41.1
W3J,83.2,156.2,110.4,106.0,110.9,111.8,50.8,22.6,71.2,44.6
W4B,101.9,166.2,119.8,111.8,115.0,123.8,54.0,24.5,77.4,47.7
W4C,114.0,179.7,118.1,115.5,118.5,126.8,60.8,27.3,85.3,52.3
W5C,67.8,154.5,97.1,93.5,104.8,103.1,50.3,22.3,71.5,41.3
W7G,90.8,194.8,102.7,87.7,100.9,120.9,69.4,31.8,98.5,50.7
W7K,126.2,181.3,126.4,118.5,119.6,131.6,63.5,28.2,88.6,51.3
W7N,115.2,176.3,120.4,115.6,118.9,131.7,58.6,26.5,81.8,51.0
W7Z,123.5,186.2,124.5,115.6,118.8,130.2,62.6,27.9,88.1,52.0
W8Y,51.7,146.5,87.2,76.1,91.2,94.9,47.6,20.8,69.2,37.7
W9B,62.8,151.0,95.9,86.5,101.4,99.9,49.4,21.8,71.3,39.8
W9F,64.7,152.6,97.5,90.7,104.0,101.7,49.2,22.4,70.1,41.2
W9J,46.4,155.8,80.4,66.0,85.3,94.2,52.1,23.0,74.8,38.2
W9R,58.2,171.0,86.6,72.3,86.4,103.6,59.8,26.7,87.1,42.9
Y0B,108.1,172.2,121.7,112.1,115.4,124.4,57.7,25.2,81.9,49.8
Y0J,83.9,189.0,102.8,88.9,98.7,119.8,64.6,29.2,94.4,50.3
Y0R,113.2,191.0,116.8,108.4,111.8,128.5,66.9,30.3,93.7,52.5
Y0W,109.7,174.9,121.1,114.6,115.8,127.7,59.4,27.0,84.2,51.2
Y0Y,121.5,177.0,129.0,125.7,120.4,132.9,59.0,26.3,81.6,51.5
Y1V,119.0,172.8,124.9,121.3,118.0,131.8,57.3,26.3,81.7,49.6
Y2G,108.8,168.5,118.8,117.3,123.7,119.0,56.7,25.4,79.8,47.5
Y2J,111.3,178.0,121.9,119.8,113.9,128.4,58.7,26.3,83.7,50.5
Y2Q,93.6,196.7,105.6,92.2,104.3,120.8,69.0,31.2,98.1,51.4
Y2T,129.3,182.0,130.6,122.7,124.7,134.4,61.0,28.2,87.5,51.7
Y2Z,67.1,151.1,100.8,89.7,108.7,100.0,47.6,21.2,68.6,39.7
Y3F,92.4,192.8,102.1,87.8,102.6,122.4,64.9,30.7,97.5,48.4
Y3P,67.4,152.0,98.8,93.1,106.1,102.7,48.5,21.5,69.1,41.6
Y4A,72.0,149.6,103.6,101.4,110.0,103.0,48.3,20.7,67.0,43.9
Y4G,114.0,178.4,122.1,115.7,120.0,129.8,58.6,26.9,84.7,53.0
Y4U,72.5,157.0,99.9,98.9,110.2,100.4,50.9,21.6,72.8,43.7
Y5E,110.6,170.3,124.6,118.4,115.3,128.0,54.9,25.2,79.5,50.8
Y5K,106.9,192.5,113.7,102.8,112.5,127.0,67.6,31.3,96.1,52.6
Y6E,58.0,151.3,93.1,83.4,98.5,96.0,48.9,21.3,70.2,41.0
Y6G,90.8,188.3,107.0,86.4,99.8,122.8,65.4,29.5,95.5,48.1
Y6K,47.0,160.2,80.2,68.7,80.8,96.5,54.0,24.0,78.2,41.3
Y6R,55.6,168.9,86.4,69.6,84.7,103.1,57.9,25.9,84.7,41.5
Y6V,90.6,192.2,104.8,91.4,102.1,118.1,64.4,28.8,95.7,49.8
Y7Q,53.6,144.2,90.7,78.3,94.7,96.4,43.6,18.5,61.4,40.1
Y8A,109.8,193.7,113.2,98.6,107.6,128.0,68.2,32.0,100.1,50.8
Y8Q,104.3,194.9,111.0,101.4,106.8,123.3,66.6,30.9,99.2,53.6
Y8Z,100.3,193.8,110.5,90.6,108.4,126.2,67.5,30.8,96.2,50.0
Y9B,43.3,155.8,77.6,65.9,82.8,92.0,53.8,23.9,78.3,37.8
Y9Q,53.4,147.3,88.9,78.0,93.4,96.8,46.5,20.1,66.8,40.4
Y9T,92.1,191.2,106.2,91.1,103.2,120.6,66.8,29.8,96.0,51.3
Y9V,74.0,156.1,99.5,90.6,108.0,103.1,49.0,22.2,70.8,41.8
Z0N,116.7,184.4,122.2,118.5,115.8,128.2,61.2,27.1,86.3,53.0
Z0R,44.1,153.9,78.5,65.8,85.0,92.9,52.2,23.6,76.5,38.7
Z0W,114.9,197.1,116.6,107.1,114.0,125.4,69.2,30.6,96.4,51.9
Z1F,95.4,191.0,108.2,91.4,102.4,124.8,66.0,30.2,96.6,47.2
Z1G,99.4,193.4,105.5,93.6,108.8,122.8,66.7,29.5,96.5,51.0
Z1Q,49.0,159.0,78.9,67.4,88.1,93.1,53.2,24.4,78.4,41.0
Z1T,102.8,193.8,107.4,97.4,105.8,125.8,65.4,29.0,95.8,51.3
Z1U,68.3,144.7,101.8,93.7,103.6,97.1,45.9,20.2,67.8,40.4
Z2G,112.6,194.4,115.1,98.0,108.0,134.1,69.5,32.7,101.1,51.6
Z2R,120.1,183.6,127.8,118.6,117.2,134.5,60.8,26.6,87.0,56.4
Z2Z,39.3,160.0,77.4,64.8,73.7,92.5,51.7,23.4,75.8,41.9
Z3A,46.9,165.3,81.4,63.2,83.2,97.6,55.2,26.2,84.0,39.6
Z3B,64.2,149.3,95.1,91.2,104.5,103.0,49.0,22.4,69.1,40.4
Z3D,121.3,175.9,126.1,118.2,121.6,130.1,58.5,27.7,85.6,47.4
Z3K,119.4,177.9,126.0,119.5,118.3,126.7,61.7,27.1,83.2,52.7
Z4R,57.5,150.5,90.3,93.0,100.5,96.5,49.0,20.4,70.8,40.8
Z5G,98.1,192.7,103.5,90.4,106.1,121.3,68.0,31.2,95.1,51.5
Z5U,52.0,171.3,76.6,65.7,92.3,95.2,56.6,26.2,86.9,37.5
Z5W,86.9,192.7,102.7,84.2,97.6,118.1,66.5,31.2,95.6,48.4
Z6A,119.3,180.5,125.7,115.2,118.4,130.4,61.6,27.3,85.5,49.0
Z6P,57.2,151.5,95.9,82.6,96.0,99.0,48.0,21.3,67.4,43.7
Z6R,68.7,153.0,94.3,87.2,103.2,99.0,48.5,21.5,70.9,39.7
Z6T,97.2,194.2,104.7,93.8,108.1,124.8,67.5,30.0,97.9,48.5
Z6W,40.0,155.6,75.7,62.0,83.2,88.1,51.4,23.4,72.8,40.3
Z7E,51.9,146.2,84.5,82.9,92.0,94.9,47.1,21.1,69.5,41.7
Z7G,100.7,193.4,111.2,100.0,109.8,122.5,68.7,29.8,96.6,48.8
Z7N,49.9,146.8,88.1,76.4,91.1,95.4,49.0,21.9,69.7,38.0
Z7R,99.9,192.8,114.5,95.3,104.5,118.6,65.2,29.5,93.4,56.1
Z8G,61.7,149.0,88.8,82.5,102.3,103.5,49.5,22.3,71.3,41.5
Z8J,108.3,174.6,122.8,113.6,117.8,121.5,59.0,26.9,80.5,49.5
Z8T,51.0,162.8,78.0,67.2,92.5,94.9,55.9,25.4,78.9,40.0
Z8W,49.9,162.9,81.4,69.8,86.7,99.2,57.0,26.4,83.1,41.8
Z9Y,95.6,188.1,105.8,96.1,103.6,122.0,65.5,29.8,95.3,52.2
