code,weight_kg,stature_cm,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length
D2Z,92.4,171.6,112.4,103.3,108.0,120.3,57.4,26.2,81.8,47.7
D3R,96.6,180.8,113.0,100.8,107.8,121.9,60.9,27.7,88.4,49.2
D3V,70.8,174.6,95.6,80.8,94.9,111.6,59.1,26.5,85.0,46.0
D4B,96.8,179.6,113.2,103.5,107.5,121.9,61.0,27.5,86.6,49.9
D4P,78.9,178.9,100.5,86.0,98.9,115.9,61.4,27.6,87.3,47.2
D4U,85.2,181.1,103.7,91.9,101.8,117.6,61.9,28.2,88.9,48.4
D4W,95.7,174.1,111.4,105.1,110.5,120.4,58.2,26.2,82.5,48.7
D5G,81.0,181.1,101.0,86.6,98.5,115.6,61.8,28.3,89.1,47.4
D6A,75.3,167.5,100.6,90.4,101.6,111.5,55.7,24.8,79.3,45.1
D7R,81.5,169.8,105.3,95.9,103.1,114.8,56.4,25.1,80.3,47.2
D8F,70.8,171.2,96.5,83.8,96.8,110.9,57.6,25.7,82.1,45.1
D8Y,69.2,166.5,94.0,85.2,100.4,105.3,55.4,24.4,80.1,43.5
D9B,66.8,167.1,94.5,83.1,98.1,106.9,55.3,24.9,79.8,43.1
D9E,80.3,166.7,103.7,94.0,106.4,112.3,56.0,24.8,79.4,45.5
E0C,92.3,176.3,111.1,100.4,106.1,120.3,59.2,26.6,83.9,49.3
E0P,74.1,164.0,99.1,92.2,106.4,107.3,54.8,24.3,78.6,43.5
E2R,79.0,178.1,100.6,87.6,98.8,116.0,60.9,27.3,86.2,47.8
E3B,90.9,170.1,111.6,102.7,108.8,118.1,56.6,25.5,80.6,46.6
E3D,101.6,181.1,113.5,103.5,110.5,124.0,62.1,27.8,88.1,49.0
E4A,102.5,181.7,113.6,105.7,109.8,123.6,61.0,27.4,86.5,51.4
E4J,85.4,171.0,106.8,96.5,104.8,116.7,57.2,25.4,80.9,46.3
E4Y,69.6,169.4,95.3,82.5,98.4,107.9,56.3,25.2,81.6,44.5
E5E,82.7,179.9,103.5,89.0,99.3,117.6,61.2,27.6,88.0,48.3
E6H,77.8,164.6,105.3,96.0,105.5,110.0,54.2,23.9,77.4,45.0
E6N,93.8,181.8,109.6,98.5,106.9,121.3,62.5,28.1,88.5,49.2
E6U,69.2,161.3,97.3,88.7,102.5,104.3,53.2,23.5,76.8,43.0
E8K,65.4,171.6,92.0,78.5,92.2,108.5,57.2,26.2,83.3,44.9
E8W,61.4,160.9,89.4,79.8,97.2,100.0,53.2,23.7,77.7,41.9
E8Z,72.2,175.6,96.8,82.2,94.3,112.5,59.9,27.6,85.8,46.9
E9E,59.4,162.4,88.7,79.5,96.1,98.8,54.2,23.6,78.3,42.0
E9F,75.2,178.2,97.8,83.5,95.8,113.3,60.3,27.5,87.0,47.5
E9W,87.1,178.7,106.4,94.1,102.3,118.8,61.4,27.5,87.6,48.8
F0A,95.2,173.1,113.2,103.7,107.1,123.0,58.7,26.4,83.0,47.7
F0H,88.6,167.8,110.6,100.5,105.5,119.1,55.8,25.1,78.9,46.4
F0P,99.4,179.3,113.6,104.4,108.1,123.8,60.4,27.2,85.9,49.8
F0Q,97.2,175.2,115.4,105.6,108.3,121.7,59.2,26.6,84.1,49.3
F0Y,59.2,166.0,88.6,76.5,93.3,101.8,55.3,24.7,80.3,43.1
F1H,59.6,163.2,88.0,77.1,96.4,100.1,54.2,24.2,79.3,40.8
F1V,70.4,177.0,96.2,82.1,93.5,111.5,60.6,27.3,87.5,46.2
F2C,90.5,180.4,108.8,97.3,104.9,119.3,61.7,27.6,87.9,49.3
